F2F4C1		242,244,193		
CBCD98		203,205,152		39, 39, 41
A5A778		165,167,120		38, 38, 32
7F8057		127,128, 87		38, 39, 33
59593A		89 , 89, 58		38, 38, 29
33331F		51 , 51, 31		38, 38, 27
0C0C07		12 , 12,  7		39, 39, 24

---------------------------------------------------
F8C94D		248,201, 77		
D98139		217,129, 57		31, 72, 20
BA4228		186, 66, 40		31, 63, 17
9B1926		155, 25, 38		31, 41,  2
7C0E36		124, 14, 54		31, 11, 16!
5D063D		 93,  6, 61		31,  8,  7!
3E0138		 62,  1, 56		31,  5,  5

---------------------------------------------------
ADC4BF		173,196,191		
8FB3AF		143,179,175		30, 17, 16
73A3A1		115,163,161		28, 16, 14
5B9193		 91,145,147		24, 18, 14
457B83		 69,123,131		22, 22, 16
326672		 50,102,114		19, 21, 17
225162		 34, 81, 98		16, 21, 16

---------------------------------------------------
E4E4E4		228,228,228		
C3D7E0		195,215,224		
A3B8DC		163,184,220		
8489D8		132,137,216		
8267D5		130,103,213		
954AD1		149, 74,209		
B72ECD		183, 46,205		
